SORTER,mother,father,telo.change,telo0ln,year,sex,hatch.order,clutchsize,median.hatch.date,maternal.age,growth.rate,days.between,mass.at.first.measure,age.at.first.measure,paternal.age,mass.at.first.measurement,age.at.first.measurement
236,WNBT,RIBL,-0.361,0.0506931143155182,2011,2,2,3,-1,NA,60.8823529411765,27,NA,NA,13,40,0
291,RNDA,RNPH,-0.05,0.0535407669280298,2011,2,1,4,4,NA,56.1111111111111,28,NA,NA,5,47,1
28,RHXF,RHUC,-0.225,0.151862349309246,2010,1,2,3,-4,NA,49.8347826086957,32,NA,NA,14,40.1,0
29,RHXF,RHUC,-0.333,0.15785808461558,2010,1,3,3,-3,NA,50.1913043478261,31,NA,NA,14,38.5,0
262,RNDJ,RDSI,-0.166,0.205386829724951,2011,2,3,4,2,NA,61.7647058823529,26,NA,NA,13,41,0
136,WASD,RLIJ,-0.487,0.297137231222536,2010,1,1,3,-6,NA,53.8,30,NA,NA,13,36.9,0
137,WASD,RLIJ,NA,0.314810739840034,2010,2,2,3,-5,NA,64.985,29,NA,NA,13,35.8,0
234,GBHI,RNPB,-0.332,0.321358598811165,2011,2,3,3,-5,NA,56.1111111111111,26,NA,NA,8,39.5,0
364,RNAL,RLLX,-0.392,0.339325305603619,2011,2,3,3,-4,NA,56.6666666666667,27,NA,NA,9,38,0
138,WASD,RLIJ,-0.229,0.353469812989784,2010,1,3,3,-4,NA,53.36,27,NA,NA,13,43.2,1
270,RFHJ,RLPI,-0.487,0.38117241553912,2011,1,3,3,-4,NA,50.75,29,NA,NA,10,42.5,0
307,RFBP,RNDF,NA,0.392717535285662,2011,NA,2,3,-3,NA,NA,NA,NA,NA,15,42.5,0
362,RNAL,RLLX,0.4,0.3974329364109,2011,1,1,3,-6,NA,64.8611111111111,28,NA,NA,9,59.5,1
273,RNLP,RIDI,-0.782,0.540578581915338,2011,2,2,3,-3,NA,64.5833333333333,25,NA,NA,15,41.3,1
309,RLIJ,RNIT,-1.026,0.618962282370569,2011,1,1,4,-6,NA,47.875,30,NA,NA,14,46.5,1
